BSC_FECHA,SYR4_GROSS_SALES,SYR4_GROSS_SALES_CMP,SYR4_GROSS_SAL_LY,SYR5_GROSS_SALES,SYR5_GROSS_SAL_LY,SMG_OVERALL,SMG_COUNT,SMG_DEF_ZONE,SYR_GROSS_SALES,SYR_NET_SALES,SYR_NET_SALES_CMP_LY,SYR_NET_SALES_LW,SYR_NET_SALES_LY,SYR_NET_SALES_CMP_LY2,SYR_TRANS,SYR_TRANS_CMP_LY,SYR_TRANS_LY,SYR_CREW_HR,SYR_MNGR_HR,SYR_GUID_HR,SYR_CASH_MM,SYR_LTN_SAL,SYR_EMPL_MEAL,SYR_MNGR_MEAL,SYR_LABOR,SYR_LABOR_SALES_REF,SYR_MNGR_VOID_AMT,SYR_REG_VOID_AMT,SYR_COUPONS,SYR_DISCOUNTS,SYR_SERVICE_TIME,SYR_NET_SALES_HR,SYR_TRANS_HR,SYR2_GROSS_SALES,SYR2_NET_SALES,UNO,SYR3_GROSS_SALES,SYR3_GROSS_SALES_CMP,SYR3_GROSS_SAL_LY,FECHA_REF,DIVISION,AREA,DISTRICT,STORE,INFS_VTA_ACTUAL
4.- Sun 03/14/2021,22737.99,22737.99,21006,213266.82,217258,1,1,0,2693.18,2622.42,2622.42,2669,2171,2622.42,244,244,247,76.75,0,104.75,205,198,0,10.28,807,2693.18,0,27.88,50.51,9.97,187.04,2622.42,244,0,0,1,22737.99,22737.99,21006,21P03W1 - 03/14/2021,DIVISION 30,Area  024,Distrito  032,02077 - Cooper City (Are-D32),2622.42
4.- Sun 03/14/2021,33286.84,33286.84,30662,315545.64,308540,,,,5139.24,5064.83,5064.83,4906,3383,5064.83,453,453,370,99.45,0,109.8,2,669,14.21,8.19,934,5139.24,0,78.02,16.07,35.94,352.69,5064.83,453,0,0,1,33286.84,33286.84,30662,21P03W1 - 03/14/2021,DIVISION 30,Area  024,Distrito  029,02079 - Sawgrass (Are-D29),5064.83
4.- Sun 03/14/2021,26762.64,26762.64,26087,246087.63,253660,,,,3288.66,3235.04,3235.04,3083,2658,3235.04,316,316,290,47.92,0,92.4,2,379,0,0,447,3288.66,0,59.64,22.69,30.93,214.27,3235.04,316,0,0,1,26762.64,26762.64,26087,21P03W1 - 03/14/2021,DIVISION 30,Area  021,Distrito  063,02272 - W. Coral Way (Are-D63),3235.04
3.- Sat 03/13/2021,51731.81,51731.81,45309,525983.7,443996,,,,10516.36,10374.32,10374.32,9485,7999,10374.32,822,822,714,144.2,0,148.85,35,1500,35.71,40.83,1651,10516.36,0,40.73,30.99,34.51,291.58,10374.32,822,0,0,1,51731.81,51731.81,45309,21P03W1 - 03/13/2021,DIVISION 30,Area  023,Distrito  035,01970 - Florida City (Are-D35),10374.32
3.- Sat 03/13/2021,38060.06,38060.06,30281,381225.38,313258,2,2,0,7189.62,7106.76,7106.76,5300,4073,7106.76,658,658,457,107.85,0,149.56,-1,609,6.34,0,1209,7189.62,0,72.07,62.25,14.27,184.64,7106.76,658,0,0,1,38060.06,38060.06,30281,21P03W1 - 03/13/2021,DIVISION 32,Area  003,Distrito  061,02010 - Dunlawton (Are-D61),7106.76
3.- Sat 03/13/2021,25879.81,25879.81,29383,275817.01,285004,,,,4279.54,4238.23,4238.23,4467,4840,4238.23,402,402,483,86.8,0,97.88,-22,238,11.99,0,836,4279.54,0,46.48,20.14,9.18,251.78,4238.23,402,0,0,1,25879.81,25879.81,29383,21P03W1 - 03/13/2021,DIVISION 30,Area  021,Distrito  004,02013 - Red Road (Are-D4),4238.23
3.- Sat 03/13/2021,26639.8,26639.8,23732,279453.16,235566,0,1,1,5378.74,5253.58,5253.58,4567,3755,5253.58,537,537,398,118.7,0,107.92,-81,463,15.71,6.88,1213,5378.74,0,20.68,35.41,67.16,165.18,5253.58,537,0,0,1,26639.8,26639.8,23732,21P03W1 - 03/13/2021,DIVISION 32,Area  003,Distrito  061,02062 - Williamson (Are-D61),5253.58
3.- Sat 03/13/2021,41153.97,41153.97,38359,445177.65,415032,2,2,0,7252.98,7075.64,7075.64,6830,5542,7075.64,673,673,589,163.9,0,126.1,-209,858,16.92,49.79,1633,7252.98,42.62,60.1,64.29,46.34,208.47,7075.64,673,0,0,1,41153.97,41153.97,38359,21P03W1 - 03/13/2021,DIVISION 30,Area  022,Distrito  058,02068 - St. Lucie West (Are-D58),7075.64
3.- Sat 03/13/2021,28795.74,28795.74,29249,320764.64,316796,,,,5042.98,4923.69,4923.69,4862,4098,4923.69,516,516,493,105.07,0,120.03,-3,535,0,51.99,1118,5042.98,0,6.19,37.69,29.61,179,4923.69,516,0,0,1,28795.74,28795.74,29249,21P03W1 - 03/13/2021,DIVISION 30,Area  024,Distrito  032,02072 - Flamingo Road (Are-D32),4923.69
3.- Sat 03/13/2021,20115.57,20115.57,18835,210644.4,215087,,,,3881.05,3827.37,3827.37,3549,2770,3827.37,371,371,297,100.08,0,112.79,-4,486,5.58,27.65,1184,3881.05,0,32.88,1.2,19.25,311.28,3827.37,371,0,0,1,20115.57,20115.57,18835,21P03W1 - 03/13/2021,DIVISION 30,Area  024,Distrito  032,02077 - Cooper City (Are-D32),3827.37
3.- Sat 03/13/2021,28222.01,28222.01,27279,310480.81,305157,,,,5213.42,5115.08,5115.08,4893,3344,5115.08,496,496,386,98.82,0,113.4,-1,452,23.4,8.57,925,5213.42,0,38.85,19.01,47.36,189.88,5115.08,496,0,0,1,28222.01,28222.01,27279,21P03W1 - 03/13/2021,DIVISION 30,Area  024,Distrito  029,02079 - Sawgrass (Are-D29),5115.08
2.- Fri 03/12/2021,20554.73,20554.73,19872,275882.29,258753,1,1,0,5123.31,4985.62,4985.62,4846,4420,4985.62,515,515,537,110.05,0,105.87,-6,409,10.7,0,1005,5123.31,0,40.21,85.49,41.5,205,4985.62,515,0,0,1,20554.73,20554.73,19872,21P03W1 - 03/12/2021,DIVISION 30,Area  013,Distrito  024,11471 - S. Jog Road (Are-D24),4985.62
2.- Fri 03/12/2021,36799.33,36799.33,35243,464111.75,432702,1,1,0,9311.39,9112.83,9112.83,8643,7817,9112.83,750,750,742,170.98,0,150.7,-41,1978,24.8,33.62,1532,9311.39,0,42.24,36.53,103.61,204.98,9112.83,750,0,0,1,36799.33,36799.33,35243,21P03W1 - 03/12/2021,DIVISION 32,Area  012,Distrito  007,11507 - Champions Gate (Are-D7),9112.83
2.- Fri 03/12/2021,33375.56,33375.56,28139,281032.84,215628,,,,8331.9,8197.79,8197.79,7376,6416,0,868,868,732,171.05,0,134.1,-85,1424,9.24,43.29,1632,8331.9,0,117.32,31.41,50.17,230.36,8197.79,868,0,0,1,33375.56,33375.56,28139,21P03W1 - 03/12/2021,DIVISION 30,Area  023,Distrito  025,11598 - Hollywood (Are-D25),8197.79
2.- Fri 03/12/2021,21293.55,21293.55,23700,268958.24,288157,,,,4897.52,4824.69,4824.69,4490,4642,4824.69,521,521,525,98.03,0,115.57,-5,415,7.19,8.99,978,4897.52,0,25.05,6.77,49.88,198.81,4824.69,521,0,0,1,21293.55,21293.55,23700,21P03W1 - 03/12/2021,DIVISION 30,Area  024,Distrito  023,11600 - Davie Road (Are-D23),4824.69
2.- Fri 03/12/2021,22135.49,22135.49,28835,275163.17,364315,,,,5256.16,5194.23,5194.23,4772,6235,5194.23,561,561,755,105.53,0,108.7,6,605,0,10.28,976,5256.16,0,39.65,26.33,25.32,,5194.23,561,0,0,1,22135.49,22135.49,28835,21P03W1 - 03/12/2021,DIVISION 30,Area  023,Distrito  025,11614 - Dania Beach (Are-D25),5194.23
2.- Fri 03/12/2021,24201.14,24201.14,23523,282408.1,264741,1,1,0,5751.45,5609.82,5609.82,5220,5083,5609.82,641,641,628,123.37,0,120.38,-10,530,11.48,19.81,1372,5751.45,0,77.33,70.63,39.71,176.66,5609.82,641,0,0,1,24201.14,24201.14,23523,21P03W1 - 03/12/2021,DIVISION 30,Area  013,Distrito  056,11635 - Sample (Are-D56),5609.82
2.- Fri 03/12/2021,31711.3,31711.3,29431,394830.54,344771,1,1,0,7595.83,7376.05,7376.05,7232,6411,7376.05,722,722,671,123.3,0,125.76,-13,628,28.86,31.62,1292,7595.83,0,13.23,107.04,52.26,191.91,7376.05,722,0,0,1,31711.3,31711.3,29431,21P03W1 - 03/12/2021,DIVISION 32,Area  012,Distrito  027,11653 - Lecanto (Are-D27),7376.05
2.- Fri 03/12/2021,26863.59,26863.59,23288,355275.52,284705,1,1,0,5817.74,5654.86,5654.86,6590,5192,5654.86,554,554,578,106.12,0,106.35,23,280,7.15,12.66,1027,5817.74,0,69.08,95.41,47.66,270.14,5654.86,554,0,0,1,26863.59,26863.59,23288,21P03W1 - 03/12/2021,DIVISION 32,Area  012,Distrito  027,11678 - Dunnelon (Are-D27),5654.86
